wallet_address,re_profit(1D),re_profit(7D),re_profit(30D),un_profit(1D),un_profit(7D),un_profit(30D),co_profit(1D),co_profit(7D),co_profit(30D),re_roi(1D),re_roi(7D),re_roi(30D),un_roi(1D),un_roi(7D),un_roi(30D),co_roi(1D),co_roi(7D),co_roi(30D),winrate(1D),winrate(7D),winrate(30D),traded_token(1D),traded_token(7D),traded_token(30D),avg_traded_time
6EM5zyfqE8XsEvxdvTApLcr1a4UhvntQ33Uztg8Z3X4j,0,47634.824778239235,289912.4879139156,0,-6431.781815931115,1059733.633426071,0,41203.04296230812,1349646.121339987,0,156.03848579415515,108.56918209993492,0,88.15528354923622,1670.9435346806717,0,26.943181711578802,507.16357183843746,0,70,50.98039215686274,0,10,51,19.380750156936596
AgUWgHkQFXuckksf7yQPK6P3ttf7mhjDxrhsNf6aj17b,-3688.3327782128013,64804.06421462711,70766.92323216396,-4521.142820175319,-18113.69395652778,-39112.77217903416,-8209.47559838812,46690.370258099334,31654.151053129775,-24.852571024038706,39.927614193464464,27.30004010546141,14.833505573559885,34.66236259010214,49.48174631596357,-100,68.25782948267963,86.4764143227279,20,53.16455696202531,48.091603053435115,5,79,131,1.1572484798231066
CRVidEDtEUTYZisCxBZkpELzhQc9eauMLR3FWg74tReL,14386.62804734725,215248.88750656391,0,-32176.96410501148,-210288.38379115245,0,-17790.336057664226,4960.503715411521,0,52.33309608982408,35.26862538880007,0,28.183449190098425,50.15405833119896,0,-100,99.03244560457823,0,18.39080459770115,16.951219512195124,0,87,820,0,8.470668014096185
8VZec6dMJhsAh7iPkdUoDqPtge35yn22xibonAqAEhMZ,-32128.29452870476,-97947.39462742711,29315.979551547018,-39017.00938631757,-127005.95783492488,-164781.04379746164,-71145.30391502233,-224953.35246235196,-135465.0642459144,-49.477315061609694,-20.574565053399553,1.7135654176657098,11.282468616408362,4.436314704614629,74.78684926504752,-100,-100,-100,11.538461538461538,18.6046511627907,22.76422764227642,26,86,246,43.1029756646748
CPydqKcEEeKTR6wt3L15G8S5Ea4bxjS2vvjiW9vw1UwK,135618.62891847003,218072.99450159018,533745.6258041057,42148.672415870446,911.6806032029781,6173.606161355257,177767.30133434047,218984.67510479316,539919.2319654608,116.07680952091326,54.386214289544085,30.74720966215053,120.89552350072901,11.934430497447376,13.380813893387053,76.27767471554561,38.91705680022748,68.41107813612516,61.76470588235294,64.34108527131784,63.47305389221557,34,129,668,13.91310312950938
AwSyCM8jkiaupUMbw1MyjQx4Ym4Bcixz5Kraga3mEpqv,19372.50262907968,19428.454508939412,56593.53392918131,8364.499079804531,23028.735159920656,25292.260042699196,27737.001708884192,42457.18966886006,81885.79397188053,2.4443754113825467,2.4378131225260864,2.7416268585354118,41.69820318977682,40.9791233999666,32.086771884208346,87.15419570425591,93.86738814804055,95.68985290539128,16.666666666666664,26.5625,26.63975782038345,72,384,991,1.5572982535380908
7KCqwonQ1eeSEsmGepxtAEbwC9KKBxpuDJp5UZD7e7X9,-2874.040693189295,19760.462292133474,19760.462292133474,-4882.169308510665,-10309.408317936013,-10310.992217325938,-7756.210001699962,9451.053974197459,9449.470074807536,-9.987184131903733,26.04471131763471,26.04471131763471,54.42403079246929,52.40977275335318,52.53215549443993,-100,87.09890984962682,87.10107193957725,20,32.72727272727273,32.72727272727273,30,55,55,0.3073569023569024
HhKQma3hUbqQV6f7edSTDVhG4GTAdhm94sXaN4WXgZYA,-430.6150060243359,42060.02825964277,63627.615234777106,-1977.4797252591488,-1939.533273599558,-2382.0432183791945,-2408.0947312834846,40120.49498604321,61245.572016397906,-3.1089210305190904,13.141987612242783,11.608498964797263,54.41041065898238,56.472775437658605,53.44690418928185,-100,87.30209167367033,88.83602288745827,45.54455445544555,48.275862068965516,54.06403940886699,101,812,1624,0.3894701105977881
2bgmHrm4qB4iMWn6dUPjHWGrX1MXj1vw3ghcK8fyAZdH,-1960.3376856085065,402.39033620704083,164709.86473002002,342.08277448990134,326.8944202028249,326.8944202028249,-1618.2549111186054,729.2847564098673,165036.75915022285,-25.414250546818902,0.29461124361031216,33.93404637822731,20.659358390988235,19.742090179942203,19.742090179942203,-100,99.46605206512353,66.15032386764965,33.33333333333333,45.714285714285715,46.78111587982833,3,105,233,0.7595714945714946
8vdDs96nCDw66R2GvtaijDQ8PcUKaV3d3gSJoN5GL8Eu,-791.2760767796918,12283.678827640637,3337.7383868145,-1555.3564306615554,-1555.3564306615554,-10629.385590885124,-2346.632507441247,10728.322396979082,-7291.6472040706185,-17.358681822219744,228.67135505362234,16.67450344593378,84.52029578727792,84.52029578727792,89.41871616895168,-100,100.371252765434,-100,25,33.33333333333333,21.428571428571427,8,9,14,2.1264583333333333
FhBA22QE3p3CZKwyFEjeFXNo3VG7hVxPxby5LekcQUMV,6150.697324816213,17809.80363906264,21995.497365540166,0,0,0,6150.697324816213,17809.80363906264,21995.497365540166,256.22780963874783,154.0727895852057,24.108099553952446,0,0,0,156.22780963874777,54.07278958520567,75.89190044604759,100,50,55.42168674698795,3,14,83,0.31270889487870623
Cc6rXDcWJqdZyNssonvD7tgYKsLXgS1wZM5gJyFaNAb2,-542.2482541554783,2378.2333714197794,24783.993534505105,14902.633919710594,14627.789444929951,17810.179229956313,14360.385665555115,17006.022816349723,42594.17276446142,-18.72423558326019,1.9008630719204764,4.246069962994778,117.00858365901907,105.75171928354425,19.725707368676506,42.142638770651,88.02986478872212,85.2685873437945,33.33333333333333,25.609756097560975,24.305555555555554,12,82,144,0.5090417833800187
GS9aaYf3F6bBNYAN2kTPB5BUiT4jwDEiXJpQ4veTHAGE,-8421.423441196373,16387.62548782332,19854.34383846658,-3048.6317094689784,-3136.622118355137,-1603.4187100301276,-11470.055150665348,13251.003369468177,18250.925128436444,-7.218261495659786,14.159773094448488,15.28822017556593,21.314204017946725,21.57093903398825,17.497100633015485,-100,88.47573328820249,85.03068387041127,28.888888888888886,30.069930069930066,29.34131736526946,45,143,167,11.41444552951389
